
AuId,2075344701
now_work_for,None
History_Afflication,
None,1942-2011
st george s hospital,2011-2011

Fields,

Field_Name,medical research
label_color,rgb(91, 192, 222)


Field_Name,medicine
label_color,#9400D3


Field_Name,bioinformatics
label_color,#9400D3

first_page_year,1942
now_year,2016
Author_Name,m r soni
total_CC,99
first author paper,

Publish Journal,bmj
Publish Year,1942
Cited Num,48
Title,Sulphonamides for Gonorrhoea.


Publish Journal,bmj
Publish Year,1944
Cited Num,36
Title,Drugs and the Doctor.


Publish Journal,bmj
Publish Year,1948
Cited Num,15
Title,Points from Letters: Encouraging Absence from Work

academic_age,74
